date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:19	89501/89501	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/jquery/dist/jquery.min.js	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/jquery/dist/jquery.min.js	(from http://antrian.pratamaciptasolusindo.com/)
09:27:19	2383/2383	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/assets/js/custom.js	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/assets/js/custom.js	(from http://antrian.pratamaciptasolusindo.com/)
09:27:20	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2005%20Apr%202022%2002:27:21%20GMT	http://antrian.pratamaciptasolusindo.com/atasan/	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/atasan/index.html	(from http://antrian.pratamaciptasolusindo.com/)
09:27:34	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/css/font-awesome.min.css)
09:27:37	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/css/font-awesome.min.css)
09:27:37	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont.eot?	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/css/font-awesome.min.css)
09:27:38	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/css/font-awesome.min.css)
09:27:39	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2013%20Sep%202013%2014:30:10%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/images/ie-spacer.gif	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/gritter/images/ie-spacer.gif	(from http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/css/jquery.gritter.css)
09:27:41	4880/4880	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202013%2014:30:10%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/images/gritter.png	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/gritter/images/gritter.png	(from http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/css/jquery.gritter.css)
09:27:42	4978/4978	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202013%2014:30:10%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/images/gritter-light.png	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/gritter/images/gritter-light.png	(from http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/css/jquery.gritter.css)
